group,method,environment,seeds,mean_last10,stderr_last10
shared,Energy-free VF=1.5 (3s),swimmer,3,126.5,17.22914197902302
shared,Energy-free VF=1.5 (3s),walker2d,3,4035.0,487.30927893211043
shared,Grouped-rho4 legacy d=.03 (5s),ant,5,4742.4,226.47242657771827
shared,Grouped-rho4 legacy d=.03 (5s),halfcheetah,5,5247.4,625.5095203112419
shared,Grouped-rho4 legacy d=.03 (5s),hopper,5,3076.8,217.48733296447406
shared,Grouped-rho4 legacy d=.03 (5s),humanoid,5,6127.2,175.16203926650317
shared,Grouped-rho4 legacy d=.03 (5s),humanoidstandup,5,184940.0,17283.07264348559
shared,Grouped-rho4 legacy d=.03 (5s),swimmer,5,63.32199999999996,14.439600202221657
shared,Grouped-rho4 legacy d=.03 (5s),walker2d,5,4475.4,275.2132990972638
shared,Grouped-rho4 legacy d=.1 (5s),ant,5,4458.200000000001,322.1776528563079
shared,Grouped-rho4 legacy d=.1 (5s),halfcheetah,5,5510.4,339.8376965552821
shared,Grouped-rho4 legacy d=.1 (5s),hopper,5,2716.2,184.15873587750323
shared,Grouped-rho4 legacy d=.1 (5s),humanoid,5,5892.2,216.44708360243618
shared,Grouped-rho4 legacy d=.1 (5s),humanoidstandup,5,149620.0,3418.245163823098
shared,Grouped-rho4 legacy d=.1 (5s),swimmer,5,74.18,14.829760955591963
shared,Grouped-rho4 legacy d=.1 (5s),walker2d,5,3622.8,250.4089455271117
shared,Grouped-rho4 aligned d=.03 (5s),ant,5,5038.4,57.01280557909775
shared,Grouped-rho4 aligned d=.03 (5s),halfcheetah,5,5283.0,390.33998001742015
shared,Grouped-rho4 aligned d=.03 (5s),hopper,5,2908.4,136.18612264103854
shared,Grouped-rho4 aligned d=.03 (5s),humanoid,5,6204.0,212.78580779741867
shared,Grouped-rho4 aligned d=.03 (5s),humanoidstandup,5,158800.0,4128.0746117288145
shared,Grouped-rho4 aligned d=.03 (5s),swimmer,5,142.36800000000002,39.90887099380286
shared,Grouped-rho4 aligned d=.03 (5s),walker2d,5,4552.8,537.3009771068727
no_shared,PPO fixed lr (5s),ant,5,4565.394424996402,141.95417507790123
no_shared,PPO fixed lr (5s),halfcheetah,5,5858.965634986208,738.6336056061208
no_shared,PPO fixed lr (5s),hopper,5,2294.6834367697998,364.78008513865217
no_shared,PPO fixed lr (5s),humanoid,5,3188.1310763908,997.9612659729339
no_shared,PPO fixed lr (5s),humanoidstandup,5,138235.02722425223,4409.800844473279
no_shared,PPO fixed lr (5s),swimmer,5,149.21720870379994,11.541018211735931
no_shared,PPO fixed lr (5s),walker2d,5,4658.318216222999,380.6890689419912
no_shared,RAT EF+GGN tuned (5s),ant,5,5550.8868352806,73.03480104478206
no_shared,RAT EF+GGN tuned (5s),halfcheetah,5,6645.9780552114,98.61129826552295
no_shared,RAT EF+GGN tuned (5s),hopper,5,3439.362629705401,77.34255130256997
no_shared,RAT EF+GGN tuned (5s),humanoid,5,6953.314634642801,84.68516353443249
no_shared,RAT EF+GGN tuned (5s),humanoidstandup,5,195154.13023742475,12587.04407078533
no_shared,RAT EF+GGN tuned (5s),swimmer,5,339.3052251657999,12.117685464491394
no_shared,RAT EF+GGN tuned (5s),walker2d,5,5175.1104136004,146.47229815053228
no_shared,Exact-RAT d=.03 (5s),ant,5,5550.2,73.07557731554367
no_shared,Exact-RAT d=.03 (5s),halfcheetah,5,5564.0,63.94763482725533
no_shared,Exact-RAT d=.03 (5s),hopper,5,1525.44,564.7460549663007
no_shared,Exact-RAT d=.03 (5s),humanoid,5,6953.0,84.75435092076394
no_shared,Exact-RAT d=.03 (5s),humanoidstandup,5,180680.0,16738.38104477252
no_shared,Exact-RAT d=.03 (5s),swimmer,5,325.9000000000001,11.215926176647157
no_shared,Exact-RAT d=.03 (5s),walker2d,5,5175.2,146.50372008928647
no_shared,Exact-RAT d=.1 (5s),ant,5,5194.0,252.4297922195397
no_shared,Exact-RAT d=.1 (5s),halfcheetah,5,6035.6,120.2824176677539
no_shared,Exact-RAT d=.1 (5s),hopper,5,2097.6400000000003,658.4568206040544
no_shared,Exact-RAT d=.1 (5s),humanoid,5,6796.8,112.05819916454128
no_shared,Exact-RAT d=.1 (5s),humanoidstandup,5,160260.0,1271.0625476348516
no_shared,Exact-RAT d=.1 (5s),swimmer,5,263.96000000000004,43.8987881381707
no_shared,Exact-RAT d=.1 (5s),walker2d,5,4802.4,233.12413002518636
no_shared,Curv256 d=.03 (5s),ant,5,4663.2,306.027515102809
no_shared,Curv256 d=.03 (5s),halfcheetah,5,6039.5999999999985,209.9058360313031
no_shared,Curv256 d=.03 (5s),hopper,5,2961.8,487.5988515162848
no_shared,Curv256 d=.03 (5s),humanoid,5,6400.0,26.583829671437485
